smiles,atc_level1,atc_numeric
CN1CCC[C@H]1c1cccnc1,N - NERVOUS SYSTEM,9
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[K+],A - ALIMENTARY TRACT AND METABOLISM,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,N - NERVOUS SYSTEM,9
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,C - CARDIOVASCULAR SYSTEM,2
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CS(=O)(=O)OCCCCOS(C)(=O)=O,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,A - ALIMENTARY TRACT AND METABOLISM,0
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,A - ALIMENTARY TRACT AND METABOLISM,0
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,M - MUSCULO-SKELETAL SYSTEM,8
CCC(C(=O)NC(N)=O)c1ccccc1,N - NERVOUS SYSTEM,9
CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,A - ALIMENTARY TRACT AND METABOLISM,0
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
O=[N+]([O-])c1cncn1CCN1CCOCC1,"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",10
COc1cnc(-n2cnc(C)n2)c2c1c(C(=O)C(=O)N1CCN(C(=O)c3ccccc3)CC1)cn2COP(=O)(O)O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
NC1=NCC2c3ccccc3Cc3ccccc3N12,S - SENSORY ORGANS,12
NC1=NCC2c3ccccc3Cc3ccccc3N12,R - RESPIRATORY SYSTEM,11
CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,B - BLOOD AND BLOOD FORMING ORGANS,1
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,M - MUSCULO-SKELETAL SYSTEM,8
COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,N - NERVOUS SYSTEM,9
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,R - RESPIRATORY SYSTEM,11
C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,A - ALIMENTARY TRACT AND METABOLISM,0
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",10
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,A - ALIMENTARY TRACT AND METABOLISM,0
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,M - MUSCULO-SKELETAL SYSTEM,8
CCCCNCC(O)c1ccc(O)cc1,C - CARDIOVASCULAR SYSTEM,2
CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,A - ALIMENTARY TRACT AND METABOLISM,0
CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,A - ALIMENTARY TRACT AND METABOLISM,0
CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,A - ALIMENTARY TRACT AND METABOLISM,0
N[C@@H]1c2cccnc2[C@H](OC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)CC[C@H]1c1cccc(F)c1F,N - NERVOUS SYSTEM,9
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,M - MUSCULO-SKELETAL SYSTEM,8
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,M - MUSCULO-SKELETAL SYSTEM,8
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)c3c(C)cccc3F)[C@H]2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,N - NERVOUS SYSTEM,9
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
O=C(OOC(=O)c1ccccc1)c1ccccc1,D - DERMATOLOGICALS,3
O=C(OOC(=O)c1ccccc1)c1ccccc1,D - DERMATOLOGICALS,3
OCc1ccccc1,"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",10
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CC(=O)NO,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,M - MUSCULO-SKELETAL SYSTEM,8
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,M - MUSCULO-SKELETAL SYSTEM,8
O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,B - BLOOD AND BLOOD FORMING ORGANS,1
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2[C@H]1C(=O)O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CC(=O)Nc1nnc(S(N)(=O)=O)s1,S - SENSORY ORGANS,12
O=C([O-])[O-].[Ca+2],A - ALIMENTARY TRACT AND METABOLISM,0
O=C([O-])[O-].[Ca+2],A - ALIMENTARY TRACT AND METABOLISM,0
CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,S - SENSORY ORGANS,12
CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,S - SENSORY ORGANS,12
CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,N - NERVOUS SYSTEM,9
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,S - SENSORY ORGANS,12
NC(=O)c1cnccn1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,C - CARDIOVASCULAR SYSTEM,2
C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,M - MUSCULO-SKELETAL SYSTEM,8
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,N - NERVOUS SYSTEM,9
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,S - SENSORY ORGANS,12
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,S - SENSORY ORGANS,12
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,D - DERMATOLOGICALS,3
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,N - NERVOUS SYSTEM,9
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,C - CARDIOVASCULAR SYSTEM,2
Nc1ccncc1N,N - NERVOUS SYSTEM,9
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,B - BLOOD AND BLOOD FORMING ORGANS,1
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,C - CARDIOVASCULAR SYSTEM,2
N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,C - CARDIOVASCULAR SYSTEM,2
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,C - CARDIOVASCULAR SYSTEM,2
CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,M - MUSCULO-SKELETAL SYSTEM,8
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,M - MUSCULO-SKELETAL SYSTEM,8
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,A - ALIMENTARY TRACT AND METABOLISM,0
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,R - RESPIRATORY SYSTEM,11
CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C,R - RESPIRATORY SYSTEM,11
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CCCN[C@H]1CCc2nc(N)sc2C1,N - NERVOUS SYSTEM,9
COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,C - CARDIOVASCULAR SYSTEM,2
CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,N - NERVOUS SYSTEM,9
CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CCC1(CC)C(=O)NCC(C)C1=O,N - NERVOUS SYSTEM,9
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,C - CARDIOVASCULAR SYSTEM,2
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,S - SENSORY ORGANS,12
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,S - SENSORY ORGANS,12
O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,N - NERVOUS SYSTEM,9
COc1ccccc1OCC(O)COC(N)=O,M - MUSCULO-SKELETAL SYSTEM,8
COc1ccccc1OCC(O)COC(N)=O,M - MUSCULO-SKELETAL SYSTEM,8
COc1ccccc1OCC(O)COC(N)=O,M - MUSCULO-SKELETAL SYSTEM,8
CC(O)(P(=O)(O)O)P(=O)(O)O,M - MUSCULO-SKELETAL SYSTEM,8
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,S - SENSORY ORGANS,12
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,S - SENSORY ORGANS,12
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,S - SENSORY ORGANS,12
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,M - MUSCULO-SKELETAL SYSTEM,8
CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CCCCC[C@](C)(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12,N - NERVOUS SYSTEM,9
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",5
CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,C - CARDIOVASCULAR SYSTEM,2
CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,R - RESPIRATORY SYSTEM,11
CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,D - DERMATOLOGICALS,3
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
Oc1ccc(OCc2ccccc2)cc1,D - DERMATOLOGICALS,3
CCC1(CC)C(=O)NC(=O)NC1=O,N - NERVOUS SYSTEM,9
COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
Nc1ccc(/N=N/c2ccccc2)c(N)n1,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,M - MUSCULO-SKELETAL SYSTEM,8
CCC(C)C(C)(COC(N)=O)COC(N)=O,N - NERVOUS SYSTEM,9
C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,A - ALIMENTARY TRACT AND METABOLISM,0
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",5
C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
C#CCN(C)[C@H](C)Cc1ccccc1,N - NERVOUS SYSTEM,9
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,M - MUSCULO-SKELETAL SYSTEM,8
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,M - MUSCULO-SKELETAL SYSTEM,8
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,A - ALIMENTARY TRACT AND METABOLISM,0
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,S - SENSORY ORGANS,12
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,N - NERVOUS SYSTEM,9
C=CC(N)CCC(=O)O,N - NERVOUS SYSTEM,9
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,D - DERMATOLOGICALS,3
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,S - SENSORY ORGANS,12
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,S - SENSORY ORGANS,12
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,N - NERVOUS SYSTEM,9
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,D - DERMATOLOGICALS,3
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,D - DERMATOLOGICALS,3
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,D - DERMATOLOGICALS,3
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,R - RESPIRATORY SYSTEM,11
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,N - NERVOUS SYSTEM,9
CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",5
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,M - MUSCULO-SKELETAL SYSTEM,8
CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,N - NERVOUS SYSTEM,9
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,N - NERVOUS SYSTEM,9
COc1ccc(O)cc1,D - DERMATOLOGICALS,3
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CCC1(c2ccccc2)NC(=O)N(C)C1=O,N - NERVOUS SYSTEM,9
CCC1(c2ccccc2)NC(=O)N(C)C1=O,N - NERVOUS SYSTEM,9
NCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2C[C@@H](OC(=O)NCCN)CN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(OCc3ccccc3)cc2)NC1=O,"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",5
C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@@H]2CSSC[C@H](N)C(=O)N[C@H]3CSSC[C@H](NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)CSSC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCC(=O)O)NC3=O)C(=O)N2,A - ALIMENTARY TRACT AND METABOLISM,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4C[C@H]3C[C@@H]12,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
S1SSSSSSS1,D - DERMATOLOGICALS,3
S1SSSSSSS1,D - DERMATOLOGICALS,3
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,C - CARDIOVASCULAR SYSTEM,2
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,A - ALIMENTARY TRACT AND METABOLISM,0
CC(=O)N[C@H](CSSC[C@H](N)C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(N)=O,"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",5
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,S - SENSORY ORGANS,12
CNCCCN1c2ccccc2CCc2ccccc21,N - NERVOUS SYSTEM,9
CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,B - BLOOD AND BLOOD FORMING ORGANS,1
CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,B - BLOOD AND BLOOD FORMING ORGANS,1
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,A - ALIMENTARY TRACT AND METABOLISM,0
O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,M - MUSCULO-SKELETAL SYSTEM,8
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CC[N+](C)(C)C(C)CC(c1ccccc1)c1ccccc1,N - NERVOUS SYSTEM,9
